Date,Open,High,Low,Close,Adj Close,Volume
2005-11-01,40.500000,40.637001,39.976002,40.450001,40.450001,0
2005-12-01,40.442001,40.603001,40.215000,40.491001,40.491001,0
2006-01-01,40.452999,42.798000,40.283001,41.945000,41.945000,0
2006-02-01,42.000000,42.053001,39.987000,40.206001,40.206001,0
2006-03-01,40.224998,40.484001,39.661999,39.998001,39.998001,0
2006-04-01,39.937000,40.297001,38.972000,39.075001,39.075001,0
2006-05-01,39.041000,39.227001,36.078999,36.254002,36.254002,0
2006-06-01,36.105999,37.528999,35.777000,37.476002,37.476002,0
2006-07-01,37.278999,37.803001,37.081001,37.438000,37.438000,0
2006-08-01,37.451000,37.480000,36.632000,36.839001,36.839001,0
2006-09-01,36.974998,36.974998,36.331001,36.462002,36.462002,0
2006-10-01,36.462002,36.943001,36.323002,36.806000,36.806000,0
2006-11-01,36.610001,37.027000,36.610001,36.743000,36.743000,0
2006-12-01,36.712002,36.855000,35.334000,35.334000,35.334000,0
2007-01-01,35.334000,37.032001,35.334000,36.849998,36.849998,0
2007-02-01,36.561001,36.859001,35.922001,36.122002,36.122002,0
2007-03-01,36.028999,36.291000,35.231998,34.985001,34.985001,0
2007-04-01,34.979000,35.237000,34.523998,34.683998,34.683998,0
2007-05-01,34.591000,35.451000,34.508999,35.141998,35.141998,0
2007-06-01,35.117001,35.507999,34.106998,34.106998,34.106998,0
2007-07-01,34.106998,34.304001,33.419998,33.962002,33.962002,0
2007-08-01,34.028000,34.659000,33.588001,34.487999,34.487999,0
2007-09-01,34.487999,35.056999,34.179001,34.715000,34.715000,0
2007-10-01,34.942001,35.071999,34.534000,34.918999,34.918999,0
2007-11-01,34.945999,36.296001,34.945999,36.296001,36.296001,0
2007-12-01,36.159000,36.270000,35.601002,36.105000,36.105000,0
2008-01-01,36.104000,36.574001,35.264000,36.367001,36.367001,0
2008-02-01,36.337002,36.673000,36.095001,36.601002,36.601002,0
2008-03-01,36.515999,37.741001,36.515999,37.652000,37.652000,0
2008-04-01,37.563999,37.966999,37.176998,37.368999,37.368999,0
2008-05-01,37.379002,38.056000,37.160000,37.498001,37.498001,0
2008-06-01,37.488998,38.412998,37.352001,38.412998,38.412998,0
2008-07-01,38.424999,38.602001,37.884998,38.348999,38.348999,0
2008-08-01,38.424999,38.860001,37.948002,38.514000,38.514000,0
2008-09-01,38.478001,40.021000,37.526001,40.021000,40.021000,0
2008-10-01,40.044998,40.044998,37.685001,39.484001,39.484001,0
2008-11-01,38.693001,39.539001,38.132000,39.182999,39.182999,0
2008-12-01,38.909000,40.055000,37.945999,38.550999,38.550999,0
2009-01-01,38.566002,39.678001,38.148998,39.015999,39.015999,0
2009-02-01,38.875000,39.346001,38.349998,38.950001,38.950001,0
